customer_id,customer_name,city,total_spent,spending_rank
352,"ALBERT CROUSE",Bamenda,99.77,1
91,"LOIS BUTLER","Bandar Seri Begawan",113.65,1
584,"SALVADOR TEEL",Banjul,129.70,1
568,"ALBERTO HENNING",Barcelona,66.79,1
61,"KATHERINE RIVERA",Basel,58.86,1
315,"KENNETH GOODEN","Bat Yam",84.83,1
172,"BERNICE WILLIS",Batman,145.67,1
441,"MARIO CHEATHAM",Batna,112.72,1
516,"ELMER NOE",Battambang,98.74,1
71,"KATHY JAMES",Baybay,129.70,1
188,"MELANIE ARMSTRONG",Bayugan,92.75,1
69,"JUDY GRAY",Béchar,96.75,1
257,"MARSHA DOUGLAS",Beira,151.63,1
362,"NICHOLAS BARFIELD",Belém,145.68,1
212,"WILMA RICHARDS",Bellevue,91.80,1
528,"CLAUDE HERZOG",Benguela,111.75,1
543,"LANCE PEMBERTON",Beni-Mellal,82.78,1
284,"SONIA GREGORY","Benin City",126.72,1
439,"ALEXANDER FENNELL",Bergamo,151.64,1
413,"MARVIN YEE","Berhampore (Baharampur)",75.79,1
155,"GAIL KNIGHT",Bern,109.75,1
379,"CARLOS COUGHLIN",Bhavnagar,106.77,1
209,"TONYA CHAPMAN",Bhilwara,161.68,1
529,"ERIK GUILLEN",Bhimavaram,118.71,1
15,"HELEN HARRIS",Bhopal,134.68,1
202,"CARLA GUTIERREZ",Bhusawal,103.74,1
468,"TIM CARY",Bijapur,175.61,1
559,"EVERETT BANDA",Bilbays,110.72,1
533,"JESSIE MILAM",Binzhou,141.67,1
321,"KEVIN SCHULER",Birgunj,116.78,1
94,"NORMA GONZALES",Bislig,79.79,1
206,"TERRI VASQUEZ",Blumenau,126.73,1
342,"HAROLD MARTINO","Boa Vista",130.68,1
125,"ETHEL WEBB",Boksburg,135.68,1
230,"JOY GEORGE",Botosani,124.67,1
132,"ESTHER CRAWFORD",Botshabelo,95.72,1
85,"ANNE POWELL",Bradford,87.77,1
325,"TIMOTHY BUNN",Brasília,91.78,1
357,"KEITH RICO",Bratislava,89.74,1
309,"CHRISTOPHER GRECO",Brescia,147.69,1
402,"LUIS YANEZ",Brest,79.80,1
499,"MARC OUTLAW",Brindisi,123.70,1
149,"VALERIE BLACK",Brockton,121.74,1
563,"KEN PREWITT",Bucuresti,110.71,1
235,"JACKIE LYNCH",Buenaventura,93.75,1
318,"BRIAN WYMAN",Bydgoszcz,52.88,1
371,"BILLY POULIN",Cabuyao,149.65,1
304,"DAVID ROYAL",Callao,115.74,1
532,"NEIL RENNER","Cam Ranh",152.68,1
526,"KARL SEAL","Cape Coral",221.55,1
111,"CARMEN OWENS",Caracas,97.74,1
578,"WILLARD LUMPKIN",Carmen,96.78,1
388,"CRAIG MORRELL",Cavite,124.70,1
65,"ROSE HOWARD",Cayenne,103.78,1
587,"SERGIO STANFIELD",Celaya,108.74,1
167,"SALLY PIERCE",Chandrapur,119.68,1
75,"TAMMY SANDERS",Changhwa,155.59,1
197,"SUE PETERS",Changzhou,154.60,1
509,"RAUL FORTIER",Chapra,100.80,1
406,"NATHAN RUNYON","Charlotte Amalie",122.68,1
555,"DWIGHT LOMBARDI",Chatsworth,74.83,1
88,"BONNIE HUGHES",Cheju,87.79,1
73,"BEVERLY BROOKS",Chiayi,97.76,1
38,"MARTHA GONZALEZ",Chisinau,127.66,1
517,"BRAD MCCURDY",Chungho,105.75,1
411,"NORMAN CURRIER",Cianjur,80.74,1
239,"MINNIE ROMERO",Ciomas,142.66,1
328,"JEFFREY SPEAR",Ciparay,90.77,1
14,"BETTY WHITE","Citrus Heights",117.72,1
26,"JESSICA HALL","Città del Vaticano",152.66,1
205,"EILEEN CARR","Ciudad del Este",80.82,1
140,"EVA RAMOS",Clarksville,83.82,1
247,"STELLA MORENO","Coacalco de Berriozábal",104.78,1
482,"MAURICE CRAWLEY",Coatzacoalcos,138.71,1
182,"RENEE LANE",Compton,97.74,1
515,"ANDRE RAPP",Coquimbo,126.72,1
24,"KIMBERLY LEE",Córdoba,95.75,1
467,"ALVIN DELOACH",Cuauhtémoc,139.71,1
323,"MATTHEW MAHAN",Cuautla,114.69,1
575,"ISAAC OGLESBY",Cuernavaca,126.71,1
113,"CINDY FISHER",Cumaná,113.71,1
572,"SIDNEY BURLESON",Czestochowa,108.75,1
416,"JEFFERY PINSON",Dadu,121.69,1
400,"BRYAN HARDISON",Dallas,124.72,1
260,"CHRISTY VARGAS",Datong,122.69,1
347,"RYAN SALISBURY",Daugavpils,142.70,1
27,"SHIRLEY ALLEN",Davao,126.69,1
64,"JUDITH COX",Daxian,100.67,1
294,"SHELLY WATTS",Dayton,113.74,1
409,"RODNEY MOELLER","Deba Habe",104.77,1
483,"VERNON CHAPA",Denizli,88.82,1
332,"STEPHEN QUALLS",Dhaka,118.72,1
440,"BERNARD COLBY","Dhule (Dhulia)",88.78,1
466,"LEO EBERT",Dongying,104.77,1
293,"MAE FLETCHER","Donostia-San Sebastián",158.69,1
120,"SYLVIA ORTIZ","Dos Quebradas",143.68,1
114,"GRACE ELLIS",Duisburg,139.67,1
142,"APRIL BURNS",Dundee,94.74,1
430,"RAY HOULE",Dzerzinsk,79.78,1
341,"PETER MENARD",Ede,106.77,1
286,"VELMA LUCAS",Effon-Alaiye,117.73,1
455,"JON WILES","El Alto",87.76,1
451,"JIM REA","El Fuerte",128.67,1
420,"JACOB LANCE","El Monte",79.79,1
17,"DONNA THOMPSON",Elista,98.79,1
389,"ALAN KAHN",Emeishan,124.74,1
474,"DUSTIN GILLETTE",Emmen,100.74,1
110,"TIFFANY JORDAN",Enshi,59.86,1
448,"MIGUEL BETANCOURT",Erlangen,135.71,1
445,"MICHEAL FORMAN",Escobar,102.74,1
10,"DOROTHY TAYLOR",Esfahan,99.75,1
507,"EDGAR RHOADS",Eskisehir,95.75,1
121,"JOSEPHINE GOMEZ",Etawah,109.74,1
530,"DARRYL ASHCRAFT",Ezeiza,76.77,1
313,"DONALD MAHON",Ezhou,89.77,1
43,"CHRISTINE ROBERTS",Faaa,99.76,1
576,"MORRIS MCCARTER",Fengshan,139.66,1
192,"LAURIE LAWRENCE",Firozabad,99.77,1
460,"LEON BOSTIC",Florencia,109.75,1
51,"ALICE STEWART",Fontana,138.67,1
141,"DEBBIE REYES",Fukuyama,130.68,1
105,"DAWN SULLIVAN",Funafuti,120.74,1
211,"STACEY MONTGOMERY",Fuyu,151.66,1
281,"LEONA OBRIEN",Fuzhou,50.86,1
117,"EDITH MCDONALD",Gandhinagar,71.81,1
593,"RENE MCALISTER","Garden Grove",113.74,1
561,"IAN STILL",Garland,96.73,1
476,"DERRICK BOURQUE",Gatineau,95.78,1
480,"COREY HAUSER",Gaziantep,101.78,1
394,"CHRIS BROTHERS",Gijón,84.78,1
461,"DEREK BLAKELY",Gingoog,97.72,1
92,"TINA SIMMONS",Goiânia,133.72,1
203,"TARA RYAN",Gorontalo,88.80,1
118,"KIM CRUZ","Grand Prairie",82.79,1
173,"AUDREY RAY",Graz,119.71,1
158,"VERONICA STONE",Greensboro,126.68,1
364,"BENJAMIN VARNEY",Guadalajara,95.77,1
427,"JESUS MCCARTNEY",Guarujá,114.76,1
370,"WAYNE TRUONG",Gulbarga,70.81,1
255,"IRMA PEARSON",Hagonoy,70.82,1
552,"HUGH WALDROP",Haining,90.79,1
199,"BETH FRANKLIN",Haiphong,103.75,1
186,"HOLLY FOX",Haldia,114.69,1
463,"DARRELL POWER",Halifax,91.75,1
259,"LENA JENSEN",Halisahar,168.68,1
251,"VICKIE BREWER",Halle/Saale,120.69,1
165,"LORRAINE STEPHENS",Hami,86.79,1
8,"SUSAN WILSON",Hamilton,92.76,1
340,"PATRICK NEWSOM",Hanoi,119.69,1
150,"DANIELLE DANIELS",Hidalgo,105.75,1
264,"GWENDOLYN MAY",Higashiosaka,98.75,1
194,"KRISTEN CHAVEZ",Hino,87.82,1
299,"JAMES GANNON",Hiroshima,131.70,1
470,"GORDON ALLARD",Hodeida,160.68,1
138,"HAZEL WARREN",Hohhot,110.66,1
412,"ALLEN BUTTERFIELD",Hoshiarpur,85.79,1
348,"ROGER QUINTANILLA",Hsichuh,146.64,1
384,"ERNEST STEPP",Huai´an,89.75,1
565,"JAIME NETTLES",Huánuco,126.71,1
136,"ANITA MORALES",Hubli-Dharwad,62.85,1
582,"ANDY VANHORN","Huejutla de Reyes",113.75,1
108,"TRACY COLE",Huixquilucan,132.70,1
310,"DANIEL CABRAL",Ibirité,97.80,1
233,"LILLIE KIM",Idfu,89.77,1
80,"MARILYN ROSS",Ife,137.70,1
198,"ELSIE KELLEY",Ikerre,141.63,1
580,"ROSS GREY",Iligan,99.73,1
103,"GLADYS HAMILTON",Ilorin,146.69,1
349,"JOE GILLILAND",Imus,138.71,1
278,"BILLIE HORTON",Inegöl,88.74,1
171,"DOLORES WAGNER",Ipoh,114.74,1
519,"RON DELUCA",Isesaki,103.77,1
106,"CONNIE WALLACE",Ivanovo,100.77,1
240,"MARLENE WELCH",Iwaki,117.74,1
54,"TERESA ROGERS",Iwakuni,128.71,1
396,"EARL SHANKS",Iwatsuki,111.73,1
391,"CLARENCE GAMEZ",Izumisano,104.70,1
408,"MANUEL MURRELL",Jaffna,116.70,1
60,"MILDRED BAILEY",Jaipur,98.75,1
153,"SUZANNE NICHOLS",Jakarta,94.76,1
234,"CLAUDIA FULLER","Jalib al-Shuyukh",111.74,1
329,"FRANK WAGGONER",Jamalpur,127.68,1
222,"DELORES HANSEN",Jaroslavl,91.79,1
128,"MARJORIE TUCKER",Jastrzebie-Zdrój,127.68,1
49,"JOYCE EDWARDS",Jedda,130.72,1
100,"ROBIN HAYES",Jelets,102.76,1
32,"AMY LOPEZ",Jhansi,127.71,1
168,"REGINA BERRY",Jinchang,135.66,1
594,"EDUARDO HIATT",Jining,130.73,1
595,"TERRENCE GUNDERSON",Jinzhou,117.70,1
224,"PEARL GARZA",Jodhpur,76.78,1
471,"DEAN SAUER",Johannesburg,109.73,1
504,"NATHANIEL ADAM",Joliet,133.72,1
581,"VIRGIL WOFFORD","José Azueta",107.73,1
369,"FRED WHEAT",Juárez,88.75,1
47,"FRANCES PARKER","Juazeiro do Norte",108.78,1
591,"KENT ARSENAULT","Juiz de Fora",134.73,1
435,"RICKY SHELBY",Junan,91.75,1
218,"VERA MCCOY",Kabul,67.82,1
18,"CAROL GARCIA",Kaduna,91.78,1
163,"CATHY SPENCER",Kakamigahara,122.71,1
301,"ROBERT BAUGHMAN",Kaliningrad,92.79,1
270,"LEAH CURTIS",Kalisz,104.75,1
79,"RACHEL BARNES",Kamakura,84.78,1
31,"BRENDA WRIGHT",Kamarhati,104.74,1
386,"TODD TAN",Kamjanets-Podilskyi,117.71,1
510,"BEN EASTER",Kamyšin,122.74,1
547,"KURT EMMONS",Kanazawa,99.77,1
492,"LESTER KRAUS",Kanchrapara,65.84,1
308,"THOMAS GRIGSBY","Kansas City",105.75,1
274,"NAOMI JENNINGS",Karnal,152.65,1
419,"CHAD CARBONE",Katihar,89.75,1
377,"HOWARD FORTNER",Kermanshah,93.74,1
143,"LESLIE GORDON",Kilis,89.78,1
19,"RUTH MARTINEZ",Kimberley,125.76,1
99,"EMILY DIAZ",Kimchon,91.76,1
326,"JOSE ANDREW",Kingstown,96.75,1
179,"DANA HART",Kirovo-Tšepetsk,133.71,1
193,"KATIE ELLIOTT",Kisumu,109.75,1
438,"BARRY LOVELACE",Kitwe,134.67,1
109,"EDNA WEST",Klerksdorp,107.74,1
295,"DAISY BATES",Kolpino,162.62,1
545,"JULIO NOLAND",Konotop,89.79,1
401,"TONY CARRANZA",Koriyama,73.79,1
283,"FELICIA SUTTON",Korla,86.72,1
393,"PHILIP CAUSEY",Korolev,121.69,1
289,"VIOLET RODRIQUEZ","Kowloon and New Kowloon",142.70,1
7,"MARIA MILLER",Kragujevac,151.67,1
58,"JEAN BELL",Kuching,115.73,1
271,"PENNY NEAL",Kumbakonam,68.82,1
34,"REBECCA SCOTT",Kurashiki,89.76,1
376,"RANDY GAITHER",Kurgan,110.72,1
311,"PAUL TROUT",Kursk,120.77,1
124,"SHEILA WELLS",Kütahya,73.82,1
531,"JAMIE WAUGH",Kuwana,118.75,1
488,"SHANE MILLARD","La Paz",95.78,1
89,"JULIA FLORES","La Plata",134.68,1
437,"RANDALL NEUMANN","La Romana",99.77,1
151,"MEGAN PALMER",Laiwu,92.73,1
112,"ROSA REYNOLDS",Lancaster,133.70,1
422,"MELVIN ELLINGTON",Laohekou,97.74,1
244,"VIOLA HANSON",Lapu-Lapu,129.68,1
6,"JENNIFER DAVIS",Laredo,93.72,1
598,"WADE DELVALLE",Lausanne,83.78,1
162,"LAUREN HUDSON","Le Mans",71.80,1
267,"MARGIE WADE",Lengshuijiang,159.64,1
569,"DAVE GARDINER",Leshan,134.68,1
473,"JORGE OLIVARES",Lhokseumawe,134.66,1
129,"CARRIE PORTER",Liaocheng,124.66,1
23,"SARAH LEWIS",Liepaja,119.70,1
166,"LYNN PAYNE",Lilongwe,123.72,1
122,"THELMA MURRAY",Lima,126.68,1
63,"ASHLEY RICHARDSON",Lincoln,112.75,1
159,"JILL HAWKINS",Linz,68.79,1
44,"MARIE TURNER",Lipetsk,114.74,1
541,"DARREN WINDHAM",Livorno,108.76,1
160,"ERIN DUNN",Ljubertsy,106.73,1
589,"TRACY HERRMANN",Loja,129.72,1
512,"CECIL VINES",London,115.74,1
252,"MATTIE HOFFMAN",London,64.78,2
501,"RUBEN GEARY",Lublin,89.79,1
387,"JESSE SCHILLING",Lubumbashi,101.74,1
30,"MELISSA KING",Lungtan,123.66,1
183,"IDA ANDREWS",Luziânia,76.77,1
500,"REGINALD KINDER",Madiun,115.72,1
81,"ANDREA HENDERSON",Mahajanga,93.78,1
346,"ARTHUR SIMPKINS",Maikop,155.68,1
66,"JANICE WARD",Malmö,144.66,1
382,"VICTOR BARKLEY",Manchester,91.76,1
263,"HILDA HOPKINS",Mandaluyong,122.71,1
223,"MELINDA FERNANDEZ","Mandi Bahauddin",80.83,1
196,"ALMA AUSTIN",Mannheim,151.65,1
453,"CALVIN MARTEL",Maracaíbo,111.77,1
20,"SHARON ROBINSON",Mardan,115.70,1
246,"MARIAN MENDOZA",Maringá,107.77,1
9,"MARGARET MOORE",Masqat,89.77,1
177,"SAMANTHA DUNCAN",Matamoros,71.77,1
355,"TERRY GRISSOM",Matsue,72.80,1
90,"RUBY WASHINGTON",Meixian,110.72,1
181,"ANA BRADLEY",Memphis,174.66,1
107,"FLORENCE WOODS",Merlo,126.70,1
343,"DOUGLAS GRAF",Mexicali,114.75,1
316,"STEVEN CURLEY",Miraj,132.71,1
491,"RICK MATTOX","Mit Ghamr",124.73,1
253,"TERRY CARLSON",Miyakonojo,127.71,1
527,"CORY MEEHAN",Mogiljov,81.76,1
144,"CLARA SHAW",Molodetšno,195.58,1
570,"IVAN CROMWELL",Monclova,99.74,1
256,"MABEL HOLLAND",Monywa,112.70,1
46,"CATHERINE CAMPBELL",Moscow,142.66,1
579,"DARYL LARUE",Mosul,111.73,1
131,"MONICA HICKS",Mukatševe,128.70,1
28,"CYNTHIA YOUNG","Munger (Monghyr)",111.68,1
481,"HERMAN DEVORE",Mwanza,115.71,1
375,"AARON SELBY",Mwene-Ditu,110.76,1
4,"BARBARA JONES",Myingyan,81.78,1
59,"CHERYL MURPHY",Mysore,133.73,1
447,"CLIFFORD BOWENS","Nabereznyje Tšelny",113.71,1
433,"DON BONE",Naçala-Porto,133.75,1
40,"AMANDA CARTER",Nador,110.73,1
152,"ALICIA MILLS",Nagaon,83.79,1
53,"HEATHER MORRIS",Nagareyama,115.70,1
368,"HARRY ARCE",Najafabad,157.65,1
237,"TANYA GILBERT",Naju,144.67,1
390,"SHAWN HEATON","Nakhon Sawan",152.67,1
472,"GREG ROBINS","Nam Dinh",141.70,1
383,"MARTIN BALES",Namibe,103.73,1
5,"ELIZABETH BROWN",Nantou,144.62,1
37,"PAMELA BAKER",Nanyang,95.77,1
535,"JAVIER ELROD",NDjamna,135.68,1
432,"EDWIN BURK",Newcastle,116.77,1
115,"WENDY HARRISON",Nezahualcóyotl,91.70,1
520,"MITCHELL WESTMORELAND","Nha Trang",134.68,1
48,"ANN EVANS",Niznekamsk,76.83,1
553,"MAX PITT","Novi Sad",107.76,1
191,"JEANETTE GREENE",Novotšerkassk,74.80,1
344,"HENRY BILLINGSLEY",Nuku´alofa,73.82,1
207,"GERTRUDE CASTILLO",Nuuk,137.66,1
363,"ROY WHITING",Nyeri,143.71,1
174,"YVONNE WATKINS","Ocumare del Tuy",92.79,1
277,"OLGA JIMENEZ",Ogbomosho,144.68,1
399,"DANNY ISOM",Okara,91.79,1
489,"RICARDO MEADOR",Okayama,99.79,1
365,"BRUCE SCHWARZ",Okinawa,103.77,1
265,"JENNIE TERRY",Olomouc,133.71,1
50,"DIANE COLLINS",Omdurman,169.65,1
404,"STANLEY SCROGGINS",Omiya,139.70,1
156,"BERTHA FERGUSON",Ondo,101.75,1
337,"JERRY JORDON",Onomichi,143.71,1
189,"LORETTA CARPENTER",Oshawa,93.78,1
13,"KAREN JACKSON",Osmaniye,131.73,1
285,"MIRIAM MCKINNEY",Otsu,135.74,1
298,"ERIKA PENA",Oulu,101.74,1
469,"WESLEY BULL","Ourense (Orense)",177.60,1
280,"TRACEY BARRETT",Owo,118.73,1
250,"JO FOWLER",Oyo,73.80,1
434,"EDDIE TOMLIN",Ozamis,128.73,1
338,"DENNIS GILMAN",Paarl,114.72,1
353,"JONATHAN SCARBOROUGH","Pachuca de Soto",72.82,1
42,"CAROLYN PEREZ","Pak Kret",117.70,1
268,"NINA SOTO","Palghat (Palakkad)",123.71,1
542,"LONNIE TIRADO","Pangkal Pinang",94.82,1
56,"GLORIA COOK",Papeete,135.70,1
300,"JOHN FARNSWORTH",Parbhani,137.69,1
95,"PAULA BRYANT",Pathankot,77.82,1
296,"RAMONA HALE",Patiala,129.70,1
596,"ENRIQUE FORSYTHE",Patras,96.72,1
76,"IRENE PRICE",Pavlodar,77.77,1
116,"VICTORIA GIBSON",Pemalang,111.73,1
275,"CAROLE BARNETT",Peoria,108.70,1
180,"STACY CUNNINGHAM",Pereira,98.77,1
228,"ALLISON STANLEY","Phnom Penh",92.73,1
169,"ERICA MATTHEWS",Pingxiang,95.78,1
487,"HECTOR POINDEXTER",Pjatigorsk,119.74,1
571,"JOHNNIE CHISHOLM",Plock,121.76,1
126,"ELLEN SIMPSON",Poá,117.72,1
254,"MAXINE SILVA","Poços de Caldas",116.68,1
282,"JENNY CASTRO",Ponce,103.73,1
506,"LESLIE SEWARD",Pontianak,152.65,1
262,"PATSY DAVIDSON",Portoviejo,119.72,1
372,"STEVE MACKENZIE",Probolinggo,158.66,1
421,"LEE HAWKS",Pudukkottai,119.73,1
135,"JUANITA MASON",Pune,110.70,1
426,"BRADLEY MOTLEY","Purnea (Purnia)",126.73,1
524,"JARED ELY",Purwakarta,87.81,1
157,"DARLENE ROSE",Pyongyang,113.69,1
134,"EMMA BOYD",Qalyub,94.77,1
242,"GLENDA FRAZIER",Qinhuangdao,140.68,1
459,"TOMMY COLLAZO",Qomsheh,186.62,1
585,"PERRY SWAFFORD",Quilmes,117.76,1
78,"LORI WOOD","Rae Bareli",141.69,1
554,"DWAYNE OLVERA",Rajkot,101.78,1
336,"JOSHUA MARK",Rampur,119.70,1
464,"JEROME KENYON",Rancagua,73.84,1
358,"SAMUEL MARLOW",Ranchi,80.79,1
410,"CURTIS IRBY","Richmond Hill",167.62,1
74,"DENISE KELLY","Rio Claro",103.73,1
494,"RAMON CHOATE",Ríobamba,140.69,1
496,"TYLER WREN",Rizhao,88.79,1
291,"TONI HOLT",Roanoke,95.77,1
457,"BILL GAVIN",Rockford,114.72,1
540,"TYRONE ASHER",Ruse,112.76,1
407,"DALE RATCLIFF",Rustenburg,112.73,1
227,"COLLEEN BURTON",Saarbrücken,87.76,1
11,"LISA ANDERSON",Sagamihara,106.76,1
62,"JOAN COOPER","Saint Louis",84.77,1
148,"ELEANOR HUNT",Saint-Denis,216.54,1
498,"GENE SANBORN",Salala,97.73,1
273,"PRISCILLA LOWE",Salamanca,157.65,1
22,"LAURA RODRIGUEZ",Salé,113.78,1
269,"CASSANDRA WALTERS",Salinas,129.70,1
266,"NORA HERRERA",Salzburg,118.72,1
217,"AGNES BISHOP",Sambhal,98.77,1
2,"PATRICIA JOHNSON","San Bernardino",128.73,1
418,"JEFF EAST","San Felipe de Puerto Plata",107.70,1
319,"RONALD WEINER","San Felipe del Progreso",132.70,1
425,"FRANCIS SIKES","San Juan Bautista Tuxtepec",104.74,1
345,"CARL ARTIS","San Lorenzo",106.77,1
243,"LYDIA BURKE","San Miguel de Tucumán",82.76,1
303,"WILLIAM SATTERFIELD",Sanaa,100.74,1
178,"MARION SNYDER","Santa Brbara dOeste",194.61,1
331,"ERIC ROBERT","Santa Fé",122.73,1
522,"ARNOLD HAVENS","Santa Rosa",167.67,1
549,"NELSON CHRISTENSON","Santiago de Compostela",77.80,1
258,"MYRTLE FLEMING","Santiago de los Caballeros",110.76,1
354,"JUSTIN NGO","Santo André",129.64,1
546,"KELLY KNOTT",Sanya,103.75,1
544,"CODY NOLEN","São Bernardo do Campo",98.78,1
443,"FRANCISCO SKIDMORE","São Leopoldo",98.78,1
1,"MARY SMITH",Sasebo,118.68,1
356,"GERALD FULTZ",Satna,121.70,1
423,"ALFRED CASILLAS",Sawhaj,120.74,1
567,"ALFREDO MCADAMS",Serpuhov,85.80,1
185,"ROBERTA HARPER","Shahr-e Kord",84.77,1
424,"KYLE SPURLOCK",Shanwei,110.70,1
485,"CLYDE TOBIAS",Shaoguan,115.71,1
292,"MISTY LAMBERT",Sharja,118.73,1
378,"EUGENE CULPEPPER",Shenzhen,71.81,1
25,"DEBORAH WALKER",Shikarpur,115.71,1
238,"NELLIE GARRETT",Shimoga,94.79,1
29,"ANGELA HERNANDEZ",Shimonoseki,140.64,1
68,"NICOLE PETERSON",Shivapuri,94.78,1
119,"SHERRY MARSHALL","Shubra al-Khayma",153.66,1
195,"VANESSA SIMS",Siegen,86.81,1
502,"BRETT CORNWELL","Siliguri (Shiliguri)",138.66,1
82,"KATHRYN COLEMAN",Simferopol,130.74,1
87,"WANDA PATTERSON",Sincelejo,145.70,1
449,"OSCAR AQUINO",Sirjan,99.80,1
518,"GABRIEL HARDER",Sivas,111.74,1
176,"JUNE CARROLL",Skikda,173.63,1
127,"ELAINE STEVENS",Smolensk,107.76,1
490,"SAM MCDUFFIE",Sogamoso,117.76,1
562,"WALLACE SLONE",Sokoto,109.75,1
86,"JACQUELINE LONG",Songkhla,148.67,1
314,"GEORGE LINTON",Sorocaba,131.67,1
145,"LUCILLE HOLMES",Soshanguve,108.72,1
475,"PEDRO CHESTNUT",Šostka,103.76,1
335,"GREGORY MAULDIN",Sousse,78.77,1
381,"BOBBY BOUDREAU","South Hill",106.65,1
583,"MARSHALL THORN",Southampton,117.77,1
16,"SANDRA MARTIN",Southend-on-Sea,118.72,1
556,"ARMANDO GRUBER",Southport,83.79,1
83,"LOUISE JENKINS",Springs,101.75,1
215,"JESSIE BANKS","Stara Zagora",91.74,1
146,"JAMIE RICE","Sterling Heights",139.71,1
477,"DAN PAINE",Stockport,109.78,1
431,"JOEL FRANCISCO",Sucre,95.77,1
511,"CHESTER BENNER",Suihua,99.76,1
597,"FREDDIE DUGGAN",Sullana,99.75,1
493,"BRENT HARKINS",Sultanbeyli,112.77,1
334,"RAYMOND MCWHORTER",Sumqayit,135.70,1
187,"BRITTANY RILEY",Sumy,159.72,1
306,"CHARLES KOWALSKI","Sungai Petani",138.68,1
214,"KRISTIN JOHNSTON",Sunnyvale,116.69,1
450,"JAY ROBB",Surakarta,89.74,1
428,"HERBERT KRUGER",Syktyvkar,78.80,1
221,"BESSIE MORRISON",Syrakusa,132.72,1
592,"TERRANCE ROUSH",Székesfehérvár,111.71,1
190,"YOLANDA WEAVER",Tabora,110.73,1
279,"DIANNE SHELTON",Tabriz,135.69,1
312,"MARK RINEHART",Tabuk,104.74,1
320,"ANTHONY SCHWAB",Tafuna,71.80,1
72,"THERESA WATSON",Taguig,99.70,1
213,"GINA WILLIAMSON",Taizz,111.72,1
505,"RAFAEL ABNEY",Talavera,97.79,1
248,"CAROLINE BOWMAN",Tallahassee,50.85,1
385,"PHILLIP HOLM",Tama,101.74,1
287,"BECKY MILES",Tambaram,115.71,1
373,"LOUIS LEONE",Tanauan,161.65,1
405,"LEONARD SCHOFIELD",Tandil,109.68,1
21,"MICHELLE CLARK",Tangail,155.65,1
577,"CLIFTON MALCOLM",Tanshui,117.73,1
236,"MARCIA DEAN",Tanza,175.58,1
548,"ALLAN CORNISH",Tarlac,79.81,1
164,"JOANN GARDNER",Tarsus,66.84,1
444,"MARCUS HIDALGO",Tartu,115.70,1
