full_name,total_spent
"TERRI VASQUEZ",126.73
"BRADLEY MOTLEY",126.73
"SONIA GREGORY",126.72
"ANDRE RAPP",126.72
"JAIME NETTLES",126.71
"ISAAC OGLESBY",126.71
"FLORENCE WOODS",126.70
"SHIRLEY ALLEN",126.69
"THELMA MURRAY",126.68
"VERONICA STONE",126.68
"RUTH MARTINEZ",125.76
"ALAN KAHN",124.74
"RICK MATTOX",124.73
"BRYAN HARDISON",124.72
"CRAIG MORRELL",124.70
"JOY GEORGE",124.67
"CARRIE PORTER",124.66
"LYNN PAYNE",123.72
"NINA SOTO",123.71
"MARC OUTLAW",123.70
"MELISSA KING",123.66
"BEN EASTER",122.74
"ERIC ROBERT",122.73
"BRANDY GRAVES",122.72
"CATHY SPENCER",122.71
"HILDA HOPKINS",122.71
"CHRISTY VARGAS",122.69
"NATHAN RUNYON",122.68
"HEIDI LARSON",122.66
"JOHNNIE CHISHOLM",121.76
"VALERIE BLACK",121.74
"GERALD FULTZ",121.70
"PHILIP CAUSEY",121.69
"JEFFERY PINSON",121.69
"PAUL TROUT",120.77
"DAWN SULLIVAN",120.74
"ARLENE HARVEY",120.74
"ALFRED CASILLAS",120.74
"CHARLIE BESS",120.74
"BYRON BOX",120.71
"VICKIE BREWER",120.69
"BEATRICE ARNOLD",119.74
"HECTOR POINDEXTER",119.74
"LEE HAWKS",119.73
"PATSY DAVIDSON",119.72
"AUDREY RAY",119.71
"SARAH LEWIS",119.70
"JOSHUA MARK",119.70
"PATRICK NEWSOM",119.69
"SALLY PIERCE",119.68
"STEPHANIE MITCHELL",118.75
"JAMIE WAUGH",118.75
"TRACEY BARRETT",118.73
"MISTY LAMBERT",118.73
"SANDRA MARTIN",118.72
"NORA HERRERA",118.72
"STEPHEN QUALLS",118.72
"ERIK GUILLEN",118.71
"MARY SMITH",118.68
"LEROY BUSTAMANTE",118.68
"MARSHALL THORN",117.77
"SAM MCDUFFIE",117.76
"PERRY SWAFFORD",117.76
"FERNANDO CHURCHILL",117.75
"MARLENE WELCH",117.74
"VELMA LUCAS",117.73
"CLIFTON MALCOLM",117.73
"BETTY WHITE",117.72
"ELLEN SIMPSON",117.72
"TODD TAN",117.71
"TED BREAUX",117.71
"CAROLYN PEREZ",117.70
"TERRENCE GUNDERSON",117.70
"KEVIN SCHULER",116.78
"EDWIN BURK",116.77
"MANUEL MURRELL",116.70
"KRISTIN JOHNSTON",116.69
"THEODORE CULP",116.69
"MAXINE SILVA",116.68
"DAVID ROYAL",115.74
"CECIL VINES",115.74
"JEAN BELL",115.73
"REGINALD KINDER",115.72
"DEBORAH WALKER",115.71
"BECKY MILES",115.71
"HERMAN DEVORE",115.71
"CLYDE TOBIAS",115.71
"MARION OCAMPO",115.71
"SHARON ROBINSON",115.70
"HEATHER MORRIS",115.70
"MARCUS HIDALGO",115.70
"ANGEL BARCLAY",115.68
"JESUS MCCARTNEY",114.76
"DOUGLAS GRAF",114.75
"MARIE TURNER",114.74
"DOLORES WAGNER",114.74
"CHARLENE ALVAREZ",114.73
"EVELYN MORGAN",114.72
"EDWARD BAUGH",114.72
"DENNIS GILMAN",114.72
"BILL GAVIN",114.72
"HOLLY FOX",114.69
"MATTHEW MAHAN",114.69
"LAURA RODRIGUEZ",113.78
"ANDY VANHORN",113.75
"SHELLY WATTS",113.74
"GLEN TALBERT",113.74
"RENE MCALISTER",113.74
"AMBER DIXON",113.73
"CINDY FISHER",113.71
"CLIFFORD BOWENS",113.71
"DARLENE ROSE",113.69
"LOIS BUTLER",113.65
"BRENT HARKINS",112.77
"TYRONE ASHER",112.76
"ASHLEY RICHARDSON",112.75
"SETH HANNON",112.75
"LARRY THRASHER",112.74
"DALE RATCLIFF",112.73
"MARIO CHEATHAM",112.72
"GERALDINE PERKINS",112.70
"MABEL HOLLAND",112.70
"CALVIN MARTEL",111.77
"CLAUDE HERZOG",111.75
"CLAUDIA FULLER",111.74
"GABRIEL HARDER",111.74
"VICTORIA GIBSON",111.73
"EARL SHANKS",111.73
"DARYL LARUE",111.73
"GINA WILLIAMSON",111.72
"TERRANCE ROUSH",111.71
"CYNTHIA YOUNG",111.68
"MYRTLE FLEMING",110.76
"AARON SELBY",110.76
"TRAVIS ESTEP",110.75
"GEORGIA JACOBS",110.74
"AMANDA CARTER",110.73
"YOLANDA WEAVER",110.73
"RUBY WASHINGTON",110.72
"RANDY GAITHER",110.72
"EVERETT BANDA",110.72
"KEN PREWITT",110.71
"JUANITA MASON",110.70
"KYLE SPURLOCK",110.70
"HAZEL WARREN",110.66
"DAN PAINE",109.78
"GAIL KNIGHT",109.75
"KATIE ELLIOTT",109.75
"RICHARD MCCRARY",109.75
"LEON BOSTIC",109.75
"WALLACE SLONE",109.75
"JOSEPHINE GOMEZ",109.74
"ANDREW PURDY",109.73
"DEAN SAUER",109.73
"KRISTINA CHAMBERS",109.72
"JULIAN VEST",109.72
"LEONARD SCHOFIELD",109.68
"FRANCES PARKER",108.78
"DARREN WINDHAM",108.76
"VICKI FIELDS",108.75
"SIDNEY BURLESON",108.75
"SERGIO STANFIELD",108.74
"LUCILLE HOLMES",108.72
"CAROLE BARNETT",108.70
"MARIAN MENDOZA",107.77
"DORA MEDINA",107.77
"ELAINE STEVENS",107.76
"MAX PITT",107.76
"EDNA WEST",107.74
"DEANNA BYRD",107.74
"VIRGIL WOFFORD",107.73
"JULIE SANCHEZ",107.71
"JEFF EAST",107.70
"TOM MILNER",107.68
"PETER MENARD",106.77
"CARL ARTIS",106.77
"CARLOS COUGHLIN",106.77
"LISA ANDERSON",106.76
"LILLIAN GRIFFIN",106.75
"ERIN DUNN",106.73
"BOBBY BOUDREAU",106.65
"FREDERICK ISBELL",105.79
"DANIELLE DANIELS",105.75
"THOMAS GRIGSBY",105.75
"VINCENT RALSTON",105.75
"BRAD MCCURDY",105.75
"DIANA ALEXANDER",105.73
"JIMMY SCHRADER",105.71
"STELLA MORENO",104.78
"RODNEY MOELLER",104.77
"LEO EBERT",104.77
"LEAH CURTIS",104.75
"BRENDA WRIGHT",104.74
"MARK RINEHART",104.74
"FRANCIS SIKES",104.74
"CLARENCE GAMEZ",104.70
"ROSE HOWARD",103.78
"BRUCE SCHWARZ",103.77
"RON DELUCA",103.77
"PEDRO CHESTNUT",103.76
"BETH FRANKLIN",103.75
"GARY COY",103.75
"CLINTON BUFORD",103.75
"KELLY KNOTT",103.75
"CARLA GUTIERREZ",103.74
"DENISE KELLY",103.73
"JENNY CASTRO",103.73
"MARTIN BALES",103.73
"NANCY THOMAS",103.72
"JEREMY HURTADO",103.72
"ROBIN HAYES",102.76
"MICHEAL FORMAN",102.74
"ADAM GOOCH",101.78
"COREY HAUSER",101.78
"DWAYNE OLVERA",101.78
"LOUISE JENKINS",101.75
"BERTHA FERGUSON",101.75
"WILLIE MARKHAM",101.75
"WILLIE HOWELL",101.74
"ERIKA PENA",101.74
"PHILLIP HOLM",101.74
"JESSE SCHILLING",101.74
"RAUL FORTIER",100.80
"DORIS REED",100.78
"CONNIE WALLACE",100.77
"SHANNON FREEMAN",100.76
"RONNIE RICKETTS",100.75
"WILLIAM SATTERFIELD",100.74
"DUSTIN GILLETTE",100.74
"JANE BENNETT",100.72
"LAWRENCE LAWTON",100.69
"JUDITH COX",100.67
"OSCAR AQUINO",99.80
"RICARDO MEADOR",99.79
"KELLY TORRES",99.78
"LAURIE LAWRENCE",99.77
"ALBERT CROUSE",99.77
"RANDALL NEUMANN",99.77
"KURT EMMONS",99.77
"CHRISTINE ROBERTS",99.76
"CHESTER BENNER",99.76
"DOROTHY TAYLOR",99.75
"FREDDIE DUGGAN",99.75
"IVAN CROMWELL",99.74
"ROSS GREY",99.73
"THERESA WATSON",99.70
"KAY CALDWELL",98.80
"DONNA THOMPSON",98.79
"FRANCISCO SKIDMORE",98.78
"CODY NOLEN",98.78
"STACY CUNNINGHAM",98.77
"AGNES BISHOP",98.77
"ANNETTE OLSON",98.76
"MILDRED BAILEY",98.75
"GWENDOLYN MAY",98.75
"ELMER NOE",98.74
"PAULINE HENRY",98.73
"DANIEL CABRAL",97.80
"RAFAEL ABNEY",97.79
"BEVERLY BROOKS",97.76
"CARMEN OWENS",97.74
"RENEE LANE",97.74
"MELVIN ELLINGTON",97.74
"GENE SANBORN",97.73
"DEREK BLAKELY",97.72
"WILLARD LUMPKIN",96.78
"PEGGY MYERS",96.76
"JUDY GRAY",96.75
"JOSE ANDREW",96.75
"CLAYTON BARBEE",96.74
"IAN STILL",96.73
"ENRIQUE FORSYTHE",96.72
"ERICA MATTHEWS",95.78
"DERRICK BOURQUE",95.78
"SHANE MILLARD",95.78
"PAMELA BAKER",95.77
"NATALIE MEYER",95.77
"TONI HOLT",95.77
"BENJAMIN VARNEY",95.77
"JOEL FRANCISCO",95.77
"KIMBERLY LEE",95.75
"CONSTANCE REID",95.75
"EDGAR RHOADS",95.75
"ESTHER CRAWFORD",95.72
"LONNIE TIRADO",94.82
"NELLIE GARRETT",94.79
"NICOLE PETERSON",94.78
"EMMA BOYD",94.77
"SUZANNE NICHOLS",94.76
"SCOTT SHELLEY",94.75
"APRIL BURNS",94.74
"ANDREA HENDERSON",93.78
"LORETTA CARPENTER",93.78
"HARVEY GUAJARDO",93.78
"GLENN PULLEN",93.77
"CHARLOTTE HUNTER",93.76
"TAMARA NGUYEN",93.75
"JACKIE LYNCH",93.75
"HOWARD FORTNER",93.74
"JENNIFER DAVIS",93.72
"YVONNE WATKINS",92.79
"ROBERT BAUGHMAN",92.79
"SUSAN WILSON",92.76
"RITA GRAHAM",92.76
"MELANIE ARMSTRONG",92.75
"KATHLEEN ADAMS",92.73
"MEGAN PALMER",92.73
"ALLISON STANLEY",92.73
"WILMA RICHARDS",91.80
"ANNA HILL",91.79
"DELORES HANSEN",91.79
"DANNY ISOM",91.79
"CAROL GARCIA",91.78
"TIMOTHY BUNN",91.78
"PHYLLIS FOSTER",91.77
"SEAN DOUGLASS",91.77
"EMILY DIAZ",91.76
"VICTOR BARKLEY",91.76
"BOB PFEIFFER",91.76
"RICKY SHELBY",91.75
"DARRELL POWER",91.75
"LUCY WHEELER",91.74
"JESSIE BANKS",91.74
"WENDY HARRISON",91.70
"HUGH WALDROP",90.79
"MATHEW BOLIN",90.78
"VIVIAN RUIZ",90.77
"JEFFREY SPEAR",90.77
"RUBEN GEARY",89.79
"JULIO NOLAND",89.79
"LESLIE GORDON",89.78
"MARGARET MOORE",89.77
"LILLIE KIM",89.77
"DONALD MAHON",89.77
"REBECCA SCOTT",89.76
"JACK FOUST",89.76
"ERNEST STEPP",89.75
"CHAD CARBONE",89.75
"KEITH RICO",89.74
"JAY ROBB",89.74
"VERNON CHAPA",88.82
"TARA RYAN",88.80
"TYLER WREN",88.79
"BERNARD COLBY",88.78
"CHRISTIAN JUNG",88.76
"FRED WHEAT",88.75
"BILLIE HORTON",88.74
"KRISTEN CHAVEZ",87.82
"JARED ELY",87.81
"BONNIE HUGHES",87.79
"MAUREEN LITTLE",87.79
"ANNE POWELL",87.77
"COLLEEN BURTON",87.76
"JON WILES",87.76
"VANESSA SIMS",86.81
"LEWIS LYMAN",86.81
"LORRAINE STEPHENS",86.79
"FELICIA SUTTON",86.72
"ALFREDO MCADAMS",85.80
"ALLEN BUTTERFIELD",85.79
"KENNETH GOODEN",84.83
"RACHEL BARNES",84.78
"CHRIS BROTHERS",84.78
"JOAN COOPER",84.77
"ROBERTA HARPER",84.77
"EVA RAMOS",83.82
"AUSTIN CINTRON",83.81
"ALICIA MILLS",83.79
"ARMANDO GRUBER",83.79
"WADE DELVALLE",83.78
"KIM CRUZ",82.79
"LANCE PEMBERTON",82.78
"LYDIA BURKE",82.76
"BARBARA JONES",81.78
"CORY MEEHAN",81.76
"MELINDA FERNANDEZ",80.83
"CHRISTINA RAMIREZ",80.82
"EILEEN CARR",80.82
"SAMUEL MARLOW",80.79
"ROLAND SOUTH",80.77
"BOBBIE CRAIG",80.76
"NORMAN CURRIER",80.74
"ALLAN CORNISH",79.81
"LUIS YANEZ",79.80
"NORMA GONZALES",79.79
"JACOB LANCE",79.79
"RAY HOULE",79.78
"ANTONIO MEEK",78.84
"HERBERT KRUGER",78.80
"GREGORY MAULDIN",78.77
"PAULA BRYANT",77.82
"NELSON CHRISTENSON",77.80
"IRENE PRICE",77.77
"ANN EVANS",76.83
"PEARL GARZA",76.78
"IDA ANDREWS",76.77
"DARRYL ASHCRAFT",76.77
"MARVIN YEE",75.79
"DWIGHT LOMBARDI",74.83
"ADRIAN CLARY",74.81
"JEANETTE GREENE",74.80
"FRANKLIN TROUTMAN",74.78
"JEROME KENYON",73.84
"SHEILA WELLS",73.82
"HENRY BILLINGSLEY",73.82
"JO FOWLER",73.80
"TONY CARRANZA",73.79
"JUAN FRALEY",73.77
"FELIX GAFFNEY",73.76
"JONATHAN SCARBOROUGH",72.82
"TERRY GRISSOM",72.80
"EDITH MCDONALD",71.81
"EUGENE CULPEPPER",71.81
"LAUREN HUDSON",71.80
"ANTHONY SCHWAB",71.80
"SAMANTHA DUNCAN",71.77
"IRMA PEARSON",70.82
"WAYNE TRUONG",70.81
"FLOYD GANDY",69.83
"PENNY NEAL",68.82
"JILL HAWKINS",68.79
"VERA MCCOY",67.82
"JOANN GARDNER",66.84
"LLOYD DOWD",66.81
"ALBERTO HENNING",66.79
"LESTER KRAUS",65.84
"KIRK STCLAIR",64.81
"MATTIE HOFFMAN",64.78
"ANITA MORALES",62.85
"TIFFANY JORDAN",59.86
"KATHERINE RIVERA",58.86
"ANNIE RUSSELL",58.82
"JOHNNY TURPIN",57.81
"BRIAN WYMAN",52.88
"LEONA OBRIEN",50.86
"CAROLINE BOWMAN",50.85
